story_cluster_id,story_cluster_hint,canonical_event_type,event_name,event_location,event_date_reference,rumor_status,event_phase,rhetorical_frame_primary,newspaper_title,date,publication_place,news_origin_norm,transmission_formula,transmission_medium,probable_chain,source_criticism_note,needs_review,review_reason
GREEK_WAR_OF_INDEPENDENCE_1821_C31FAE,GREEK_WAR_OF_INDEPENDENCE_1821,battle,Battle near Cassandra,near Cassandra,15 November 1821,reported,reported_account,military_strategic,Journal des Débats,1821-12-18,Paris,Hungary,Nous avons des nouvelles du Serts (Macédoiue) du i5 novembre.,unknown,Serts (Macedonia) -> Journal des Débats (Paris),The information is based on news received from Serts (Macedonia) and reported in the newspaper without official confirmation.,False,
GREEK_INDEPENDENCE_DIPLOMACY_1827_9A83DC,GREEK_INDEPENDENCE_DIPLOMACY_1827,political_development,Greek independence diplomatic pressure,Constantinople,April 1827,reported,reported_account,diplomatic_negotiation,Atlas,1827-06-10,Alger,Constantinople,,unknown,Constantinople -> Alger,"The text is fragmentary and unclear, presenting a reported diplomatic pressure without official confirmation or named sources.",True,"Text is fragmentary and partially illegible, limiting certainty and clarity of transmission details."
GREEK_WAR_OF_INDEPENDENCE_1828_F19801,GREEK_WAR_OF_INDEPENDENCE_1828,military_movement,Deployment of Allied Troops to Support Greek Independence,Toulon,1828,reported,reported_account,military_strategic,Aris's Birmingham Gazette,Monday 10 March 1828,Warwickshire,Toulon,,unknown,Toulon -> Warwickshire,"The information is a secondhand report from another newspaper and lacks official confirmation, indicating moderate reliability.",False,
INTERNAL_GREEK_AFFAIRS_1831_861C25,INTERNAL_GREEK_AFFAIRS_1831,political_development,Provisional Greek Government Affairs,Greece,Oct. 15,reported,reported_account,unclear,Stamford Mercury,1831-11-04,Lincolnshire,Vienna,Vienna. Oct. 15. —The accounts from Greece arc still very melancholy,unknown,Greece -> Vienna -> Lincolnshire,"The information is a secondhand report from Vienna citing melancholy accounts from Greece, lacking official confirmation.",False,
GREEK_WAR_OF_INDEPENDENCE_1828_F19801,GREEK_WAR_OF_INDEPENDENCE_1828,military_movement,Greek liberation operations,Greece,"November 6, 1828",reported,reported_account,military_strategic,Bells Weekly Messenger,1828-11-09,Unknown,London,,unknown,London,"The information is based on a statement attributed to a General, indicating a reported account rather than official confirmation.",False,
GREEK_WAR_INDEPENDENCE_1821_21710F,GREEK_WAR_INDEPENDENCE_1821,political_development,Greek Petition for Munitions and Consular Hostility,Constantinople,1821-09-12,reported,reported_account,diplomatic_negotiation,Journal des Débats,1821-09-12,Paris,Constantinople,,unknown,Constantinople -> Paris,The information is a contemporary newspaper report citing events and petitions in Constantinople without official confirmation.,False,
INTERNAL_GREEK_AFFAIRS_1828_0697F4,INTERNAL_GREEK_AFFAIRS_1828,diplomacy,Negotiations on Greek State Boundaries and Constitution,Greece,1828,reported,reported_account,diplomatic_negotiation,Sun (London),Friday 01 August 1828,London,London,"The Pabllcatlon of the MORNING HERALD, yeeterday, commenced at Five, and fialahed at",newspaper_reprint,London -> London,"The information is a secondary report from a London newspaper citing another London newspaper, lacking direct official confirmation.",False,
UNCLEAR_1828_FB6EAF,,unclear,,,,unclear,unclear,unclear,The News (London),Sunday 05 October 1828,London,France,,unknown,France -> London,"The text is fragmentary and unclear, providing no explicit confirmation or detailed report of events related to Greece.",True,"Text is incomplete and fragmented, making interpretation and classification uncertain. | Unclear rumor status and event phase."
GREEK_WAR_OF_INDEPENDENCE_1825_446895,GREEK_WAR_OF_INDEPENDENCE_1825,battle,Victory of General Gouras over the Pacha of Négrepont,"Eubée, Greece",1825,reported,reported_account,military_strategic,Journal de Lot-et-Garonne,Unknown,Unknown,Venice,Des lettres de Venise portent que le général gree Gouras a remporté une nouvelle victoire,letter,Venice -> Journal de Lot-et-Garonne,The information is based on letters from Venice and thus represents a reported account without official confirmation.,False,
GREEK_WAR_OF_INDEPENDENCE_1821_C31FAE,GREEK_WAR_OF_INDEPENDENCE_1821,military_movement,Greek advantages in Morea and Turkish control of Prevesa,"Prevesa, Morea",1821,reported,reported_account,military_strategic,Journal des Débats,1821-09-30,Paris,Prevesa,,unknown,Prevesa -> Paris,"The information is presented as news without explicit source or confirmation, indicating a reported account rather than confirmed fact.",False,
